"Regio's";"Codes en namen van gemeenten/Code (code)";"Codes en namen van gemeenten/Naam (naam)";"Lokaliseringen van gemeenten/COROP-gebieden/Code (code)";"Lokaliseringen van gemeenten/COROP-gebieden/Naam (naam)";"Lokaliseringen van gemeenten/GGD-regio's/Code (code)";"Lokaliseringen van gemeenten/GGD-regio's/Naam (naam)";"Lokaliseringen van gemeenten/Jeugdregio's/Code (code)";"Lokaliseringen van gemeenten/Jeugdregio's/Naam (naam)";"Lokaliseringen van gemeenten/Toeristengebieden/Code (code)";"Lokaliseringen van gemeenten/Toeristengebieden/Naam (naam)";"Lokaliseringen van gemeenten/Veiligheidsregio's/Code (code)";"Lokaliseringen van gemeenten/Veiligheidsregio's/Naam (naam)"
"Bergen op Zoom";"GM0748    ";"Bergen op Zoom                                    ";"CR33      ";"West-Noord-Brabant                                ";"GG5206    ";"GGD West-Brabant                                  ";"JZ36      ";"West Brabant West                                 ";"TR13      ";"West- en Midden-Brabant                           ";"VR20      ";"Midden- en West-Brabant                           "
"Berkelland";"GM1859    ";"Berkelland                                        ";"CR14      ";"Achterhoek                                        ";"GG1413    ";"GGD Noord- en Oost-Gelderland                     ";"JZ25      ";"Achterhoek                                        ";"TR10      ";"Achterhoek                                        ";"VR06      ";"Noord- en Oost-Gelderland                         "
"Bernheze";"GM1721    ";"Bernheze                                          ";"CR35      ";"Noordoost-Noord-Brabant                           ";"GG5406    ";"GGD Hart voor Brabant                             ";"JZ33      ";"Noordoost Brabant                                 ";"TR13      ";"West- en Midden-Brabant                           ";"VR21      ";"Brabant-Noord                                     "
"Best";"GM0753    ";"Best                                              ";"CR36      ";"Zuidoost-Noord-Brabant                            ";"GG5608    ";"GGD Brabant-Zuidoost                              ";"JZ39      ";"Zuidoost-Brabant                                  ";"TR13      ";"West- en Midden-Brabant                           ";"VR22      ";"Brabant-Zuidoost                                  "
"Beuningen";"GM0209    ";"Beuningen                                         ";"CR15      ";"Arnhem/Nijmegen                                   ";"GG2014    ";"GGD Gelderland-Zuid                               ";"JZ32      ";"Rijk van Nijmegen                                 ";"TR09      ";"Gelders Rivierengebied                            ";"VR08      ";"Gelderland-Zuid                                   "
"Beverwijk";"GM0375    ";"Beverwijk                                         ";"CR20      ";"IJmond                                            ";"GG3109    ";"GGD Kennemerland                                  ";"JZ10      ";"IJmond (Midden Kennemerland)                      ";"TR02      ";"Noordzeebadplaatsen                               ";"VR12      ";"Kennemerland                                      "
"De Bilt";"GM0310    ";"De Bilt                                           ";"CR17      ";"Utrecht                                           ";"GG2514    ";"GGD Regio Utrecht                                 ";"JZ23      ";"Zuidoost Utrecht                                  ";"TR07      ";"Utrechtse Heuvelrug en 't Gooi                    ";"VR09      ";"Utrecht                                           "
"Bladel";"GM1728    ";"Bladel                                            ";"CR36      ";"Zuidoost-Noord-Brabant                            ";"GG5608    ";"GGD Brabant-Zuidoost                              ";"JZ39      ";"Zuidoost-Brabant                                  ";"TR13      ";"West- en Midden-Brabant                           ";"VR22      ";"Brabant-Zuidoost                                  "
"Blaricum";"GM0376    ";"Blaricum                                          ";"CR24      ";"Het Gooi en Vechtstreek                           ";"GG3606    ";"GGD Gooi en Vechtstreek                           ";"JZ16      ";"Gooi en Vechtstreek                               ";"TR07      ";"Utrechtse Heuvelrug en 't Gooi                    ";"VR14      ";"Gooi en Vechtstreek                               "
"Bloemendaal";"GM0377    ";"Bloemendaal                                       ";"CR21      ";"Agglomeratie Haarlem                              ";"GG3109    ";"GGD Kennemerland                                  ";"JZ11      ";"Zuid Kennemerland                                 ";"TR02      ";"Noordzeebadplaatsen                               ";"VR12      ";"Kennemerland                                      "
